iter	Passed	Remaining
718	9004	3519
719	9022	3508
720	9036	3496
721	9046	3483
722	9060	3471
723	9072	3458
724	9087	3446
725	9099	3434
726	9105	3419
727	9116	3406
728	9129	3393
729	9143	3381
730	9157	3369
731	9171	3357
732	9188	3346
733	9204	3335
734	9219	3323
735	9239	3314
736	9260	3304
737	9282	3295
738	9306	3286
739	9331	3278
740	9344	3266
741	9358	3253
742	9369	3240
743	9379	3227
744	9388	3213
745	9398	3200
746	9409	3186
747	9432	3177
748	9451	3167
749	9462	3154
750	9469	3139
751	9480	3126
752	9489	3112
753	9498	3098
754	9508	3085
755	9520	3072
756	9534	3060
757	9547	3048
758	9556	3034
759	9566	3020
760	9577	3008
761	9589	2995
762	9602	2982
763	9617	2970
764	9633	2959
765	9644	2946
766	9657	2933
767	9673	2922
768	9689	2910
769	9702	2898
770	9714	2885
771	9732	2874
772	9747	2862
773	9759	2849
774	9772	2837
775	9788	2825
776	9801	2813
777	9811	2799
778	9819	2785
779	9830	2772
780	9842	2759
781	9853	2746
782	9863	2733
783	9871	2719
784	9883	2706
785	9898	2694
786	9910	2682
787	9926	2670
788	9939	2658
789	9951	2645
790	9961	2631
791	9979	2620
792	9994	2608
793	10005	2595
794	10017	2583
795	10030	2570
796	10040	2557
797	10055	2545
798	10069	2533
799	10084	2521
800	10097	2508
801	10112	2496
802	10126	2484
803	10135	2470
804	10145	2457
805	10152	2443
806	10161	2430
807	10167	2415
808	10177	2402
809	10186	2389
810	10194	2375
811	10203	2362
812	10214	2349
813	10230	2337
814	10241	2324
815	10254	2312
816	10261	2298
817	10273	2285
818	10288	2273
819	10297	2260
820	10307	2247
821	10314	2233
822	10325	2220
823	10331	2206
824	10357	2197
825	10365	2183
826	10373	2170
827	10381	2156
828	10389	2143
829	10395	2129
830	10404	2115
831	10411	2102
832	10421	2089
833	10428	2075
834	10438	2062
835	10447	2049
836	10454	2035
837	10461	2022
838	10470	2009
839	10477	1995
840	10487	1982
841	10492	1968
842	10508	1957
843	10528	1946
844	10538	1933
